"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*043ib*","PF","Dorian Finney-Smith","DAL","SF,PF,F,Flx","-","","96.1","19.22","5","5","2.2","5.4",".407","0.8","1.2","1.2","4.0","0","0","3.2","0","0","0"
"*051pi*","PF","Daniel Gafford","WAS","PF,F,C,Flx","-","MIA<br/>Mon 7:00PM","52.7","17.57","3","3","0.0","0.0","0","2.0","2.0","1.7","5.7","1","0","4.0","0","0","0"
"*03ad7*","PF","Kevon Looney","GS","PF,F,C,Flx","-","@OKC<br/>Mon 8:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05qu0*","PF","Jaden McDaniels","MIN","PF,F,Flx","-","","52.3","26.15","2","2","1.5","6.0",".250","3.0","3.0","1.5","4.0","0","0","2.0","0","0","0"
"*03el5*","PF","Kristaps Porzingis","DAL","PF,F,C,Flx","-","","602.6","28.7","21","21","1.6","5.6",".288","3.9","4.3","2.2","5.9","8","0","2.5","2","0","0"
"*05uj6*","PF","Jeremiah Robinson-Earl","OKC","SF,PF,F,C,Flx","-","GS<br/>Mon 8:00PM","10.2","10.2","1","1","2.0","3.0",".667","0.0","0.0","0.0","2.0","0","0","1.0","0","0","0"
"*05qty*","PF","Jalen Smith","PHO","PF,F,Flx","-","@CHI<br/>Mon 8:00PM","47.1","23.55","2","2","1.0","2.5",".400","2.5","2.5","2.0","6.5","1","0","3.0","1","0","0"
"*051oy*","C","Goga Bitadze","IND","C,Flx","-","","35.7","11.9","3","2","0.0","1.0",".000","1.7","2.7","3.0","1.0","0","0","3.0","0","0","0"
"*01uz3*","C","DeMarcus Cousins","DEN","C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*03r7p*","C","Willy Hernangomez","NO","C,Flx","-","","47","15.67","3","3","0.0","0.0","0","3.7","5.0","3.7","5.3","0","0","2.3","0","0","0"
"*03nwo*","C","Frank Kaminsky","PHO","C,Flx","-","@CHI<br/>Mon 8:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*031ls*","C","Alex Len","SAC","PF,F,C,Flx","-","","11.6","11.6","1","1","0.0","2.0",".000","0.0","0.0","6.0","4.0","0","0","2.0","0","0","0"
"*005le*","C","Robin Lopez","ORL","C,Flx","-","","42.5","21.25","2","2","0.0","0.0","0","2.0","3.0","4.0","3.0","1","0","2.0","0","0","0"
"*031m0*","C","Kelly Olynyk","DET","PF,F,C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05uiq*","C","Alperen Sengun","HOU","PF,F,C,Flx","-","","11.2","11.2","1","0","0.0","0.0","0","1.0","2.0","3.0","3.0","0","0","5.0","0","0","0"
"*05uj3*","C","Day'Ron Sharpe","BKN","PF,F,C,Flx","-","","10.4","10.4","1","1","0.0","0.0","0","0.0","0.0","2.0","4.0","0","0","2.0","0","0","0"
"*05qub*","C","Isaiah Stewart","DET","PF,F,C,Flx","-","","175.3","14.61","12","12","0.2","0.5",".333","1.2","1.8","2.8","5.2","0","0","2.4","0","0","0"
"","Totals","","","","","","11387.4","26.48","430","422","1.7","4.9",".341","2.6","3.4","1.2","5.2","72","15","2.3","26","0","1"
