"""ID"",""Pos"",""Player"",""Team"",""Eligible"",""Status"",""Opponent"",""Fantasy Points"",""Average Fantasy Points per Game"",""GP"",""GS"",""3PTM"",""3PTA"",""3PT%"",""FTM"",""FTA"",""OREB"",""DREB"",""2DO"",""3D"",""PF"",""TF"",""FF"",""EJ"""
"*05qtr*,""SG"",""Devin Vassell"",""SA"",""SG,G,SF,F,Flx"",""-"","""",""164.4"",""13.7"",""12"",""1"",""1.2"",""4.3"","".269"",""0.4"",""0.5"",""0.9"",""2.8"",""0"",""0"",""0.9"",""0"",""0"",""0"""
"*038xi*,""SF"",""Robert Covington"",""LAC"",""SF,PF,F,C,Flx"",""-"","""",""17.3"",""17.3"",""1"",""0"",""1.0"",""5.0"","".200"",""0.0"",""0.0"",""3.0"",""2.0"",""0"",""0"",""3.0"",""0"",""0"",""0"""
"*05uin*,""SF"",""Chris Duarte"",""IND"",""PG,SG,G,SF,F,Flx"",""-"","""",""50.7"",""16.9"",""3"",""3"",""2.0"",""5.3"","".375"",""0.3"",""1.3"",""0.7"",""1.7"",""0"",""0"",""1.3"",""0"",""0"",""0"""
"*051pg*,""SF"",""Cody Martin"",""CHA"",""SG,G,SF,F,Flx"",""-"",""TOR<br/>Mon 7:00PM"",""68"",""22.67"",""3"",""2"",""2.0"",""3.0"","".667"",""1.3"",""1.7"",""1.3"",""3.0"",""0"",""0"",""1.0"",""0"",""0"",""0"""
"*05qt6*,""SF"",""Jordan Nwora"",""MIL"",""SF,F,Flx"",""-"","""",""0"",""0"","""","""",""0"",""0"",""0"",""0"",""0"",""0"",""0"","""","""",""0"","""","""","""""
"*04s00*,""SF"",""Duncan Robinson"",""MIA"",""SG,G,SF,F,Flx"",""-"",""@WAS<br/>Mon 7:00PM"",""0"",""0"","""","""",""0"",""0"",""0"",""0"",""0"",""0"",""0"","""","""",""0"","""","""","""""
"*05uii*,""SF"",""Franz Wagner"",""ORL"",""PG,SG,G,SF,PF,F,Flx"",""-"","""",""4.3"",""4.3"",""1"",""1"",""1.0"",""2.0"","".500"",""0.0"",""0.0"",""0.0"",""0.0"",""0"",""0"",""1.0"",""0"",""0"",""0"""
"*03bxn*,""SF"",""T.J. Warren"",""IND"",""SF,PF,F,Flx"",""-"","""",""0"",""0"","""","""",""0"",""0"",""0"",""0"",""0"",""0"",""0"","""","""",""0"","""","""","""""
"*03r7l*,""PF"",""Larry Nance"",""POR"",""PF,F,C,Flx"",""-"","""",""21.5"",""21.5"",""1"",""1"",""1.0"",""1.0"",""1.000"",""0.0"",""0.0"",""4.0"",""5.0"",""0"",""0"",""1.0"",""0"",""0"",""0"""
"*051os*,""PF"",""P.J. Washington"",""CHA"",""PF,F,C,Flx"",""-"",""TOR<br/>Mon 7:00PM"",""93.1"",""18.62"",""5"",""0"",""2.2"",""6.0"","".367"",""1.4"",""1.6"",""1.2"",""4.2"",""0"",""0"",""2.8"",""0"",""0"",""0"""
"*05qsl*,""PF"",""Patrick Williams"",""CHI"",""SF,PF,F,Flx"",""-"",""PHO<br/>Mon 8:00PM"",""5.3"",""5.3"",""1"",""1"",""0.0"",""0.0"",""0"",""2.0"",""2.0"",""0.0"",""1.0"",""0"",""0"",""2.0"",""0"",""0"",""0"""
"*02nf9*,""C"",""Andre Drummond"",""PHI"",""C,Flx"",""-"","""",""248.6"",""20.72"",""12"",""8"",""0.0"",""0.1"","".000"",""1.0"",""1.8"",""3.3"",""7.8"",""3"",""0"",""2.7"",""1"",""0"",""0"""
"*005lx*,""C"",""JaVale McGee"",""PHO"",""C,Flx"",""-"",""@CHI<br/>Mon 8:00PM"",""12.3"",""12.3"",""1"",""0"",""0.0"",""0.0"",""0"",""2.0"",""2.0"",""1.0"",""6.0"",""0"",""0"",""2.0"",""0"",""1"",""0"""
"*031m0*,""C"",""Kelly Olynyk"",""DET"",""PF,F,C,Flx"",""-"","""",""0"",""0"","""","""",""0"",""0"",""0"",""0"",""0"",""0"",""0"","""","""",""0"","""","""","""""
",""Totals"","""","""","""","""","""",""11162.7"",""26.39"",""423"",""351"",""1.8"",""5.3"","".347"",""3.0"",""3.7"",""1.5"",""5.4"",""80"",""24"",""2.0"",""27"",""5"",""3"""
